gene,SNPs,hits,Z,top_candidate_p,Z_pVal
37,200,2,3.6543066437131113,0.5953543153279739,0.5558353518043544
38,143,0,1.4023718252498338,1.0,0.8903876124003864
39,120,1,1.9727768650490012,0.7006196086876687,0.7798681611976991
40,87,1,2.042482726429684,0.5828791200667797,0.6693606921958416
41,95,1,3.391016275626642,0.6151039211065155,0.36808607208870336
42,178,1,3.365977193008783,0.8328660649851164,0.602374131098764
43,80,4,4.468388844594293,0.008659188892860738,0.10004086399324252
44,174,5,6.215382821118555,0.031467170134751955,0.09160948295882043
45,219,1,2.5015585900972503,0.8893101964006584,0.7857844873381913
46,148,0,3.3253581729751134,1.0,0.5641739479465318
47,196,1,4.8544023988174105,0.8605244312247751,0.2985175722163862
48,219,2,3.2157096837096746,0.6444509338930238,0.6516036952695128
49,59,0,2.040637741311177,1.0,0.5168317626137223
50,150,1,4.575801136894845,0.7785482127611391,0.29680542814517086
51,167,1,2.831499765851734,0.8133287232842966,0.6989953270728284
52,97,1,1.992159803170251,0.6227633530764958,0.7170782298605004
53,91,2,2.4482731884105164,0.23100925191118446,0.5868380182503408
54,157,3,5.655597196917548,0.20836044074649676,0.1357988009560147
55,108,0,1.0285706934607515,1.0,0.896380944410724
56,82,2,3.6718004457564883,0.1980831532566273,0.23876066606251412
57,128,0,2.747370647616771,1.0,0.6444512483024464
58,51,1,3.2136778249486055,0.401043993533839,0.15185224599923652
59,117,0,3.9713010272790403,1.0,0.3282141036925579
